time,temperature,windBearing,windSpeed,ozone,pressure
2018-09-20 01:00:00,18.46,228,5.76,291.0,1014.5
2018-09-20 02:00:00,18.05,214,5.36,292.1,1014.5
2018-09-20 03:00:00,18.07,214,5.58,292.1,1014.3
2018-09-20 04:00:00,18.19,216,5.99,291.9,1013.9
2018-09-20 05:00:00,18.31,218,6.31,291.9,1013.5
2018-09-20 06:00:00,18.27,218,6.38,292.2,1013.3
2018-09-20 07:00:00,18.16,217,6.35,292.6,1013.1
2018-09-20 08:00:00,18.18,213,6.03,293.3,1012.8
2018-09-20 09:00:00,18.23,215,6.28,293.6,1012.8
2018-09-20 10:00:00,18.49,217,6.66,293.7,1012.7
2018-09-20 11:00:00,18.71,219,7.04,293.4,1012.5
2018-09-20 12:00:00,18.9,218,7.34,292.3,1012.2
2018-09-20 13:00:00,19.07,216,7.63,290.7,1011.8
2018-09-20 14:00:00,19.56,208,7.54,284.8,1011.5
2018-09-20 15:00:00,20.0,209,8.16,284.1,1010.7
2018-09-20 16:00:00,20.44,212,8.99,284.2,1010.0
2018-09-20 17:00:00,20.57,215,9.51,284.4,1009.0
2018-09-20 18:00:00,20.82,215,9.64,284.4,1008.0
2018-09-20 19:00:00,20.59,214,9.62,284.4,1007.2
2018-09-20 20:00:00,20.28,211,8.73,288.0,1006.2
2018-09-20 21:00:00,20.03,212,9.21,288.3,1005.3
2018-09-20 22:00:00,19.85,213,9.84,288.2,1004.2
2018-09-20 23:00:00,19.64,213,10.37,288.2,1003.1
2018-09-21 00:00:00,19.21,210,11.11,287.8,1001.4
2018-09-21 01:00:00,18.62,207,11.88,287.5,999.8
2018-09-21 02:00:00,18.98,194,11.18,290.5,998.2
2018-09-21 03:00:00,17.84,223,10.69,294.3,998.1
2018-09-21 04:00:00,16.27,260,9.98,299.2,998.8
2018-09-21 05:00:00,14.88,252,9.41,303.5,999.8
2018-09-21 06:00:00,13.38,146,8.91,306.4,1001.4
2018-09-21 07:00:00,11.95,347,8.37,308.7,1003.5
2018-09-21 08:00:00,11.52,271,6.1,310.8,1005.2
2018-09-21 09:00:00,11.3,349,6.37,314.2,1006.3
2018-09-21 10:00:00,11.98,153,7.1,317.9,1006.8
2018-09-21 11:00:00,12.99,267,7.72,320.8,1007.6
2018-09-21 12:00:00,13.68,269,8.17,322.8,1008.4
2018-09-21 13:00:00,14.39,269,8.58,324.0,1008.9
2018-09-21 14:00:00,15.95,247,8.16,324.3,1009.1
2018-09-21 15:00:00,16.27,260,8.55,323.2,1009.6
2018-09-21 16:00:00,16.32,266,9.35,321.3,1010.3
2018-09-21 17:00:00,15.77,263,9.59,319.1,1011.0
2018-09-21 18:00:00,15.88,187,8.99,317.0,1011.8
2018-09-21 19:00:00,15.59,348,8.0,314.7,1013.4
2018-09-21 20:00:00,15.19,268,6.28,314.4,1014.6
2018-09-21 21:00:00,14.67,265,5.75,311.4,1015.7
2018-09-21 22:00:00,14.12,266,5.48,307.8,1016.2
2018-09-21 23:00:00,13.63,266,5.24,304.4,1017.2
2018-09-22 00:00:00,13.26,301,4.98,301.4,1017.8
2018-09-22 01:00:00,12.96,221,4.74,298.7,1018.2
2018-09-22 02:00:00,12.42,241,4.05,297.0,1018.5
2018-09-22 03:00:00,12.19,249,3.98,293.9,1018.8
2018-09-22 04:00:00,12.06,248,4.04,290.5,1019.5
2018-09-22 05:00:00,11.89,246,4.11,287.4,1019.7
2018-09-22 06:00:00,11.79,248,4.09,284.9,1019.7
2018-09-22 07:00:00,11.77,249,4.04,282.8,1019.6
2018-09-22 08:00:00,12.16,248,3.51,280.2,1019.7
2018-09-22 09:00:00,12.32,249,3.55,279.0,1019.8
2018-09-22 10:00:00,13.01,251,3.63,278.4,1020.0
2018-09-22 11:00:00,13.61,251,3.66,277.7,1020.1
2018-09-22 12:00:00,13.97,251,3.47,276.6,1020.1
2018-09-22 13:00:00,14.14,249,3.23,275.6,1020.1
2018-09-22 14:00:00,12.56,243,1.9,274.7,1020.0
2018-09-22 15:00:00,12.21,221,1.85,273.5,1019.4
2018-09-22 16:00:00,11.8,191,2.05,272.3,1018.6
2018-09-22 17:00:00,11.68,164,2.32,271.3,1017.6
2018-09-22 18:00:00,11.74,143,2.65,270.8,1016.7
2018-09-22 19:00:00,11.67,125,2.98,270.5,1015.6
2018-09-22 20:00:00,11.48,103,3.24,268.9,1015.0
2018-09-22 21:00:00,11.65,91,3.54,269.2,1014.5
2018-09-22 22:00:00,11.82,82,3.81,270.0,1014.0
2018-09-22 23:00:00,11.95,74,3.98,270.7,1013.7
2018-09-23 00:00:00,11.9,67,3.87,270.9,1013.5
2018-09-23 01:00:00,11.89,59,3.63,271.1,1013.3
2018-09-23 02:00:00,12.06,41,2.68,272.1,1014.0
2018-09-23 03:00:00,11.95,35,2.81,272.9,1014.0
2018-09-23 04:00:00,11.76,31,3.17,273.7,1013.8
2018-09-23 05:00:00,11.6,29,3.48,274.7,1013.7
2018-09-23 06:00:00,11.32,27,3.63,275.3,1013.6
2018-09-23 07:00:00,11.04,25,3.7,275.9,1013.6
2018-09-23 08:00:00,10.51,21,3.82,277.6,1013.5
2018-09-23 09:00:00,10.11,17,4.13,282.1,1013.8
2018-09-23 10:00:00,9.84,11,4.6,288.1,1014.1
2018-09-23 11:00:00,9.68,5,4.89,294.7,1014.8
2018-09-23 12:00:00,9.46,357,4.96,302.0,1015.8
2018-09-23 13:00:00,9.28,349,4.81,309.8,1017.1
2018-09-23 14:00:00,9.7,341,4.77,322.0,1018.5
2018-09-23 15:00:00,11.11,337,5.14,325.5,1019.4
2018-09-23 16:00:00,12.95,333,5.61,326.6,1020.2
2018-09-23 17:00:00,13.45,331,5.79,326.0,1020.7
2018-09-23 18:00:00,13.45,332,5.61,323.5,1021.9
2018-09-23 19:00:00,12.77,336,5.21,319.2,1023.7
2018-09-23 20:00:00,11.71,339,4.32,314.8,1025.6
2018-09-23 21:00:00,11.05,338,3.9,312.7,1027.1
2018-09-23 22:00:00,10.4,336,3.42,311.2,1028.6
2018-09-23 23:00:00,9.81,333,3.06,309.5,1029.9
2018-09-24 00:00:00,9.26,326,2.87,307.5,1031.0
2018-09-24 01:00:00,8.78,316,2.78,305.2,1031.7
2018-09-24 02:00:00,7.89,310,2.38,297.4,1032.7
2018-09-24 03:00:00,7.35,307,2.46,294.1,1033.5
2018-09-24 04:00:00,6.93,308,2.69,291.1,1034.2
2018-09-24 05:00:00,6.34,308,2.76,288.6,1034.8
2018-09-24 06:00:00,5.58,308,2.62,286.0,1035.2
2018-09-24 07:00:00,4.86,310,2.38,283.8,1035.8
2018-09-24 08:00:00,5.5,310,2.4,281.9,1036.4
2018-09-24 09:00:00,6.58,315,2.44,281.0,1037.0
2018-09-24 10:00:00,8.43,319,2.47,280.8,1037.5
2018-09-24 11:00:00,10.16,325,2.54,280.3,1037.9
2018-09-24 12:00:00,11.69,329,2.65,279.6,1038.1
2018-09-24 13:00:00,12.98,333,2.74,278.8,1038.4
2018-09-24 14:00:00,14.43,336,2.21,272.3,1038.8
2018-09-24 15:00:00,15.34,339,2.32,271.6,1038.7
2018-09-24 16:00:00,15.93,340,2.49,271.9,1038.2
2018-09-24 17:00:00,15.93,343,2.58,272.3,1038.0
2018-09-24 18:00:00,15.2,346,2.39,272.5,1037.8
2018-09-24 19:00:00,13.66,349,2.07,272.8,1037.8
2018-09-24 20:00:00,12.32,357,1.45,270.6,1038.4
2018-09-24 21:00:00,11.06,20,1.15,271.1,1038.6
2018-09-24 22:00:00,9.85,55,0.97,271.9,1038.8
2018-09-24 23:00:00,8.92,81,0.8,272.5,1039.1
2018-09-25 00:00:00,8.28,113,0.68,272.5,1039.3
2018-09-25 01:00:00,7.81,187,0.57,272.3,1039.5
2018-09-25 02:00:00,8.11,218,0.87,269.8,1039.6
2018-09-25 03:00:00,7.36,217,0.74,269.3,1039.4
2018-09-25 04:00:00,6.43,205,0.63,269.0,1039.0
2018-09-25 05:00:00,5.52,215,0.57,268.5,1038.7
2018-09-25 06:00:00,4.67,209,0.6,267.5,1038.6
2018-09-25 07:00:00,4.13,191,0.55,266.1,1038.8
2018-09-25 08:00:00,4.77,174,0.64,265.7,1039.1
2018-09-25 09:00:00,6.64,172,0.83,265.3,1039.1
2018-09-25 10:00:00,9.79,144,0.87,265.1,1039.0
2018-09-25 11:00:00,12.46,156,1.13,264.7,1039.3
2018-09-25 12:00:00,14.27,165,1.59,264.0,1039.3
2018-09-25 13:00:00,15.51,178,2.2,263.2,1039.0
2018-09-25 14:00:00,16.51,194,2.31,268.9,1038.6
2018-09-25 15:00:00,17.33,196,2.64,268.2,1037.9
2018-09-25 16:00:00,17.88,194,3.0,266.7,1037.1
2018-09-25 17:00:00,17.79,190,3.28,265.1,1036.6
2018-09-25 18:00:00,17.04,189,3.31,263.8,1036.2
2018-09-25 19:00:00,15.6,188,3.13,262.3,1036.2
2018-09-25 20:00:00,13.97,185,2.75,261.8,1036.0
2018-09-25 21:00:00,12.72,185,2.53,260.9,1036.4
2018-09-25 22:00:00,11.33,185,2.26,260.2,1036.4
2018-09-25 23:00:00,10.03,187,2.06,259.6,1036.5
2018-09-26 00:00:00,9.05,186,1.88,259.3,1036.3
2018-09-26 01:00:00,8.21,184,1.76,259.0,1036.0
2018-09-26 02:00:00,8.52,182,1.86,256.7,1035.5
2018-09-26 03:00:00,7.98,188,1.77,256.5,1035.0
2018-09-26 04:00:00,7.37,197,1.57,256.8,1034.5
2018-09-26 05:00:00,6.81,209,1.44,256.9,1034.1
2018-09-26 06:00:00,6.18,216,1.36,256.7,1033.8
2018-09-26 07:00:00,5.73,219,1.29,256.5,1033.8
2018-09-26 08:00:00,6.15,216,1.47,256.5,1033.7
2018-09-26 09:00:00,7.53,223,1.56,255.9,1033.9
2018-09-26 10:00:00,10.32,226,1.73,255.0,1034.0
2018-09-26 11:00:00,13.26,233,2.15,254.2,1034.0
2018-09-26 12:00:00,15.65,239,2.49,253.4,1033.8
2018-09-26 13:00:00,17.44,241,2.69,252.5,1033.7
2018-09-26 14:00:00,19.43,240,2.72,246.4,1033.4
2018-09-26 15:00:00,20.69,240,2.8,245.3,1033.0
2018-09-26 16:00:00,21.47,239,2.78,244.7,1032.3
2018-09-26 17:00:00,20.99,237,2.72,244.3,1031.8
2018-09-26 18:00:00,20.61,235,2.55,243.7,1031.7
2018-09-26 19:00:00,19.3,228,2.23,243.3,1031.6
2018-09-26 20:00:00,17.57,217,1.94,241.7,1031.7
2018-09-26 21:00:00,16.19,217,2.0,241.8,1031.8
2018-09-26 22:00:00,14.82,218,2.15,242.2,1031.8
2018-09-26 23:00:00,13.65,219,2.14,242.7,1032.0
2018-09-27 00:00:00,12.77,216,1.96,243.3,1031.9
2018-09-27 01:00:00,12.03,210,1.69,244.1,1031.8
2018-09-27 02:00:00,12.39,202,1.37,242.3,1031.5
2018-09-27 03:00:00,11.52,204,1.34,242.9,1031.0
2018-09-27 04:00:00,10.38,204,1.42,243.8,1030.3
2018-09-27 05:00:00,9.41,205,1.45,244.6,1029.7
2018-09-27 06:00:00,8.29,204,1.37,245.7,1029.3
2018-09-27 07:00:00,7.34,203,1.26,246.8,1028.8
2018-09-27 08:00:00,7.53,201,1.22,247.9,1028.6
2018-09-27 09:00:00,8.55,203,1.29,249.0,1028.3
2018-09-27 10:00:00,11.15,206,1.35,250.1,1028.1
2018-09-27 11:00:00,14.07,214,1.64,251.0,1027.8
2018-09-27 12:00:00,16.81,222,2.13,251.7,1027.2
2018-09-27 13:00:00,18.67,229,2.67,252.2,1026.5
2018-09-27 14:00:00,20.79,233,2.94,250.8,1026.0
2018-09-27 15:00:00,21.91,253,3.2,251.0,1025.3
2018-09-27 16:00:00,22.54,265,3.35,251.4,1024.6
2018-09-27 17:00:00,22.0,266,3.41,252.0,1024.1
2018-09-27 18:00:00,21.64,198,3.17,252.6,1023.9
2018-09-27 19:00:00,20.47,357,2.6,253.3,1023.9
2018-09-27 20:00:00,19.05,291,2.0,255.6,1024.2
2018-09-27 21:00:00,17.73,290,1.98,256.3,1024.5
2018-09-27 22:00:00,16.38,305,2.26,256.9,1024.8
2018-09-27 23:00:00,15.18,326,2.59,257.2,1025.1
2018-09-28 00:00:00,14.32,337,2.83,257.4,1025.2
2018-09-28 01:00:00,13.69,350,3.02,257.5,1025.4
2018-09-28 02:00:00,13.74,3,3.58,255.5,1026.0
2018-09-28 03:00:00,13.36,13,3.72,256.1,1026.5
2018-09-28 04:00:00,12.86,20,3.51,257.3,1026.6
2018-09-28 05:00:00,12.54,23,3.59,259.4,1026.9
2018-09-28 06:00:00,11.81,26,3.81,262.8,1027.3
2018-09-28 07:00:00,11.24,26,4.12,267.1,1027.8
2018-09-28 08:00:00,11.9,24,4.03,272.3,1028.7
2018-09-28 09:00:00,11.89,26,4.22,277.8,1029.5
2018-09-28 10:00:00,12.54,29,4.57,283.6,1030.4
2018-09-28 11:00:00,13.52,33,4.96,289.1,1030.9
2018-09-28 12:00:00,14.63,37,5.08,294.6,1031.2
2018-09-28 13:00:00,15.69,40,4.95,299.6,1031.2
2018-09-28 14:00:00,16.08,38,4.15,305.2,1031.6
2018-09-28 15:00:00,16.59,37,4.14,305.5,1031.4
2018-09-28 16:00:00,16.94,36,4.26,303.4,1030.9
2018-09-28 17:00:00,16.35,35,4.32,300.9,1030.7
2018-09-28 18:00:00,16.02,35,4.26,298.2,1031.0
2018-09-28 19:00:00,15.25,38,4.08,295.0,1031.7
2018-09-28 20:00:00,14.16,38,3.6,291.8,1032.2
2018-09-28 21:00:00,13.08,38,3.35,290.9,1032.6
2018-09-28 22:00:00,12.17,42,3.25,290.9,1032.7
2018-09-28 23:00:00,11.37,43,3.06,290.7,1033.0
2018-09-29 00:00:00,10.56,44,2.66,289.6,1033.2
2018-09-29 01:00:00,9.72,43,2.19,288.3,1033.1
2018-09-29 02:00:00,9.11,39,1.85,286.0,1033.2
2018-09-29 03:00:00,8.36,37,2.09,285.3,1032.8
2018-09-29 04:00:00,7.62,34,1.97,284.9,1032.5
2018-09-29 05:00:00,6.8,30,1.81,284.8,1032.2
2018-09-29 06:00:00,6.05,29,1.68,284.8,1031.9
2018-09-29 07:00:00,5.4,29,1.52,285.1,1031.6
2018-09-29 08:00:00,6.06,27,1.53,286.5,1031.5
2018-09-29 09:00:00,7.43,28,1.46,286.6,1031.3
2018-09-29 10:00:00,10.0,32,1.44,286.6,1031.0
2018-09-29 11:00:00,12.52,48,1.41,286.4,1030.7
2018-09-29 12:00:00,14.46,82,1.33,286.2,1030.2
2018-09-29 13:00:00,15.86,128,1.29,286.0,1029.8
2018-09-29 14:00:00,17.0,157,1.2,285.0,1028.8
2018-09-29 15:00:00,17.86,189,1.22,285.0,1028.0
2018-09-29 16:00:00,18.41,217,1.34,285.2,1026.9
2018-09-29 17:00:00,17.77,220,1.44,285.5,1026.0
2018-09-29 18:00:00,17.42,168,1.47,285.9,1025.5
2018-09-29 19:00:00,16.37,312,1.48,286.3,1025.2
2018-09-29 20:00:00,14.96,268,1.39,287.9,1024.8
2018-09-29 21:00:00,13.73,50,1.28,288.8,1024.6
2018-09-29 22:00:00,12.4,83,1.12,289.8,1024.4
2018-09-29 23:00:00,11.22,263,1.1,290.5,1024.2
2018-09-30 00:00:00,10.3,298,1.16,291.0,1023.8
2018-09-30 01:00:00,9.61,212,1.33,291.5,1023.1
2018-09-30 02:00:00,9.85,212,1.41,290.6,1022.4
2018-09-30 03:00:00,9.06,177,1.65,290.9,1021.9
2018-09-30 04:00:00,8.2,323,1.88,291.3,1021.4
2018-09-30 05:00:00,7.37,271,2.09,291.7,1021.4
2018-09-30 06:00:00,6.69,228,2.31,291.6,1021.1
2018-09-30 07:00:00,6.81,317,2.48,291.4,1021.0
2018-09-30 08:00:00,6.75,288,2.58,291.6,1020.9
2018-09-30 09:00:00,7.61,283,2.57,291.6,1020.7
2018-09-30 10:00:00,9.41,285,2.52,291.6,1020.6
2018-09-30 11:00:00,11.35,292,2.57,291.4,1020.4
2018-09-30 12:00:00,13.33,298,2.82,290.8,1020.0
2018-09-30 13:00:00,14.86,303,3.17,290.0,1019.3
2018-09-30 14:00:00,15.59,320,2.82,290.4,1019.3
2018-09-30 15:00:00,15.99,320,3.13,292.6,1019.4
2018-09-30 16:00:00,15.84,317,3.59,295.9,1019.3
2018-09-30 17:00:00,15.03,316,3.97,299.9,1019.1
2018-09-30 18:00:00,14.72,318,4.34,305.0,1019.2
2018-09-30 19:00:00,14.1,321,4.64,310.8,1019.3
2018-09-30 20:00:00,13.49,322,4.5,318.1,1019.9
2018-09-30 21:00:00,12.79,321,4.64,321.9,1020.3
2018-09-30 22:00:00,12.06,320,4.81,324.5,1020.7
2018-09-30 23:00:00,11.39,319,4.93,325.4,1020.5
2018-10-01 00:00:00,10.85,318,5.11,324.0,1020.9
2018-10-01 01:00:00,10.36,318,5.27,320.7,1021.3
2018-10-01 02:00:00,10.06,321,5.38,323.3,1021.8
