time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipAccumulation
2018-09-20 01:00:00,Overcast,cloudy,0.0134,0.03,rain,18.46,18.46,14.88,0.8,1014.5,5.76,11.21,228,0.93,0,16.093,291.0,
2018-09-20 02:00:00,Overcast,cloudy,0.012,0.03,rain,18.05,18.05,14.76,0.81,1014.5,5.36,10.4,214,0.89,0,16.093,292.1,
2018-09-20 03:00:00,Overcast,cloudy,0.0129,0.05,rain,18.07,18.07,14.9,0.82,1014.3,5.58,10.89,214,0.9,0,16.093,292.1,
2018-09-20 04:00:00,Overcast,cloudy,0.0169,0.05,rain,18.19,18.21,15.07,0.82,1013.9,5.99,11.78,216,0.93,0,16.093,291.9,
2018-09-20 05:00:00,Overcast,cloudy,0.0201,0.06,rain,18.31,18.34,15.2,0.82,1013.5,6.31,12.43,218,0.95,0,16.093,291.9,
2018-09-20 06:00:00,Overcast,cloudy,0.016,0.06,rain,18.27,18.3,15.2,0.82,1013.3,6.38,12.6,218,0.95,0,16.093,292.2,
2018-09-20 07:00:00,Overcast,cloudy,0.0096,0.06,rain,18.16,18.19,15.14,0.83,1013.1,6.35,12.53,217,0.96,0,16.093,292.6,
2018-09-20 08:00:00,Overcast,cloudy,0.0065,0.06,rain,18.18,18.21,15.13,0.82,1012.8,6.03,12.27,213,0.96,0,16.093,293.3,
2018-09-20 09:00:00,Overcast,cloudy,0.0,0.0,,18.23,18.24,15.03,0.82,1012.8,6.28,12.19,215,0.97,0,16.093,293.6,
2018-09-20 10:00:00,Overcast,cloudy,0.0067,0.07,rain,18.49,18.49,14.95,0.8,1012.7,6.66,12.03,217,0.98,1,16.093,293.7,
2018-09-20 11:00:00,Overcast,cloudy,0.0138,0.07,rain,18.71,18.71,14.81,0.78,1012.5,7.04,12.1,219,1.0,2,16.093,293.4,
2018-09-20 12:00:00,Overcast,cloudy,0.0178,0.06,rain,18.9,18.9,14.74,0.77,1012.2,7.34,11.99,218,1.0,2,16.093,292.3,
2018-09-20 13:00:00,Overcast,cloudy,0.0197,0.05,rain,19.07,19.07,14.54,0.75,1011.8,7.63,12.1,216,1.0,3,16.093,290.7,
2018-09-20 14:00:00,Overcast,cloudy,0.0187,0.05,rain,19.56,19.56,14.36,0.72,1011.5,7.54,12.84,208,1.0,3,16.093,284.8,
2018-09-20 15:00:00,Overcast,cloudy,0.0116,0.04,rain,20.0,20.0,14.07,0.69,1010.7,8.16,14.02,209,0.99,3,16.093,284.1,
2018-09-20 16:00:00,Overcast,cloudy,0.0,0.0,,20.44,20.44,13.75,0.65,1010.0,8.99,15.63,212,0.99,2,16.093,284.2,
2018-09-20 17:00:00,Overcast,cloudy,0.0,0.0,,20.57,20.57,13.76,0.65,1009.0,9.51,16.83,215,0.99,1,16.093,284.4,
2018-09-20 18:00:00,Overcast,cloudy,0.0,0.0,,20.82,20.82,13.81,0.64,1008.0,9.64,17.24,215,0.98,1,16.093,284.4,
2018-09-20 19:00:00,Overcast,cloudy,0.0,0.0,,20.59,20.59,13.68,0.65,1007.2,9.62,17.35,214,0.97,0,16.093,284.4,
2018-09-20 20:00:00,Overcast,cloudy,0.0104,0.05,rain,20.28,20.28,13.39,0.65,1006.2,8.73,16.26,211,0.96,0,16.093,288.0,
2018-09-20 21:00:00,Overcast,cloudy,0.0093,0.06,rain,20.03,20.03,13.41,0.66,1005.3,9.21,16.79,212,0.95,0,16.093,288.3,
2018-09-20 22:00:00,Windy and Overcast,wind,0.0088,0.08,rain,19.85,19.85,13.54,0.67,1004.2,9.84,17.64,213,0.97,0,16.093,288.2,
2018-09-20 23:00:00,Windy and Overcast,wind,0.0277,0.12,rain,19.64,19.64,13.75,0.69,1003.1,10.37,18.65,213,0.99,0,16.093,288.2,
2018-09-21 00:00:00,Possible Drizzle and Windy,rain,0.2291,0.3,rain,19.21,19.21,14.62,0.75,1001.4,11.11,19.95,210,0.99,0,16.093,287.8,
2018-09-21 01:00:00,Possible Light Rain and Dangerously Windy,rain,0.8192,0.52,rain,18.62,18.69,15.56,0.82,999.8,11.88,21.7,207,1.0,0,16.093,287.5,
2018-09-21 02:00:00,Possible Light Rain and Dangerously Windy,rain,1.3367,0.53,rain,18.98,19.06,15.79,0.82,998.2,11.18,23.3,194,0.99,0,4.875,290.5,
2018-09-21 03:00:00,Possible Light Rain and Dangerously Windy,rain,1.0296,0.5,rain,17.84,17.84,14.81,0.82,998.1,10.69,21.86,223,1.0,0,4.42,294.3,
