index_left,LSOA11CD,LSOA11NM,pod_id_location,Borough,geometry
199,E01000204,Barnet 025C,1245,Barnet,POINT (-22993.15214284145 6728924.969895756)
897,E01000915,Camden 027A,2245,Camden,POINT (-13406.65155419711 6714132.654449186)
868,E01000886,Camden 006A,3245,Camden,POINT (-16958.2442482111 6720147.066045677)
4385,E01004496,Wandsworth 024B,5245,Wandsworth,POINT (-20791.69789291367 6699568.057132736)
4715,E01033084,Hounslow 018G,6245,Hounslow,POINT (-40049.41320269603 6704610.464029181)
3845,E01003933,Southwark 034C,8245,Southwark,POINT (-11734.41016350055 6709435.879238808)
4612,E01004733,Westminster 020C,9245,Westminster,POINT (-14044.84619491495 6711035.626686315)
3842,E01003929,Southwark 002B,10245,Southwark,POINT (-9868.918136786875 6711315.516412824)
2794,E01002859,Kensington and Chelsea 012C,11245,Kensington & Chelsea,POINT (-17674.41819222963 6709006.221901162)
136,E01000140,Barnet 041C,12245,Barnet,POINT (-21790.67900329251 6721112.52669832)
4162,E01004266,Tower Hamlets 007D,13245,Tower Hamlets,POINT (-5423.596910939082 6715461.692890014)
2700,E01002765,Islington 015D,15245,Islington,POINT (-13134.25276022597 6719177.101147535)
2761,E01002826,Kensington and Chelsea 008C,16245,Kensington & Chelsea,POINT (-21418.98322353377 6710552.057120509)
2898,E01002964,Kingston upon Thames 005A,18245,Kingston,POINT (-33020.25527604557 6694268.369469361)
4104,E01004203,Tower Hamlets 005C,19245,Tower Hamlets,POINT (-6882.104879312552 6715363.098990615)
930,E01000948,Camden 021D,20245,Camden,POINT (-15977.12991610459 6716707.729152998)
110,E01000114,Barking and Dagenham 004E,21245,Barking & Dagenham,POINT (16540.07258104617 6721201.162657518)
3846,E01003934,Southwark 002C,22245,Southwark,POINT (-11615.63226682413 6711207.851623155)
898,E01000916,Camden 027B,25245,Camden,POINT (-12469.34144171775 6714246.083031919)
4304,E01004413,Waltham Forest 004C,26245,Waltham Forest,POINT (-31.28077691290987 6731514.768290968)
4403,E01004514,Wandsworth 012C,27245,Wandsworth,POINT (-21069.44002244289 6702380.244487967)
2018,E01002068,Haringey 025B,28245,Haringey,POINT (-7154.3923537929 6725238.971664521)
2812,E01002877,Kensington and Chelsea 003B,29245,Kensington & Chelsea,POINT (-24323.64269680266 6713179.845138229)
2986,E01003053,Lambeth 015B,30245,Lambeth,POINT (-13077.03454195823 6704267.547297956)
3929,E01004027,Southwark 003E,31245,Southwark,POINT (-8637.501929631682 6710570.476589395)
1490,E01001513,Enfield 012F,32245,Enfield,POINT (-6118.230533489109 6736923.072128798)
2709,E01002774,Islington 004E,33245,Islington,POINT (-14754.84190719444 6721397.597706527)
1594,E01001620,Greenwich 025A,34245,Greenwich,POINT (4525.693898200538 6702221.247161111)
4731,E01033207,Lambeth 004F,35245,Lambeth,POINT (-12863.63507810752 6706987.332359748)
3854,E01003942,Southwark 006D,36245,Southwark,POINT (-9821.273394727354 6709590.010695062)
5,E01000007,Barking and Dagenham 015A,37245,Barking & Dagenham,POINT (9002.852498415208 6717207.414065864)
3675,E01003760,Redbridge 009B,38245,Redbridge,POINT (4253.183784738603 6727265.974516386)
1633,E01001667,Greenwich 036B,39245,Greenwich,POINT (1145.700199244372 6709329.848502372)
2712,E01002777,Islington 012A,40245,Islington,POINT (-8878.953905162292 6719024.578372344)
3499,E01003576,Newham 002A,42245,Newham,POINT (6565.846205968863 6719991.320342246)
3054,E01003122,Lambeth 004D,42451,Lambeth,POINT (-14606.11906749463 6705881.115008689)
3035,E01003102,Lambeth 004A,43245,Lambeth,POINT (-13257.03815857095 6707643.912690242)
4675,E01032740,City of London 001G,44245,City of London,POINT (-11232.69321849527 6713603.28230974)
2810,E01002875,Kensington and Chelsea 007E,45245,Kensington & Chelsea,POINT (-22852.77826495113 6712144.869125626)
2756,E01002821,Kensington and Chelsea 014A,46245,Kensington & Chelsea,POINT (-19322.05797546087 6709409.952540095)
2643,E01002704,Islington 023D,47245,Islington,POINT (-10327.22048038278 6714055.903196721)
3826,E01003912,Southwark 019A,48245,Southwark,POINT (-8699.729524985121 6705629.29235037)
2050,E01002100,Haringey 008B,49245,Haringey,POINT (-10597.72684301044 6727952.507044244)
1782,E01001829,Hackney 009C,51245,Hackney,POINT (-8445.809766485667 6721277.802204045)
4428,E01004539,Wandsworth 003A,52245,Wandsworth,POINT (-17532.04056350503 6705535.285317768)
4135,E01004238,Tower Hamlets 008D,53245,Tower Hamlets,POINT (-1414.202811037748 6714350.746453107)
2709,E01002774,Islington 004E,54245,Islington,POINT (-14799.59234249334 6721298.752859829)
3724,E01003809,Richmond upon Thames 005D,55245,Richmond,POINT (-28357.08180671534 6703983.43232243)
1225,E01001244,Ealing 024E,56245,Ealing,POINT (-29252.75842963802 6711413.524800344)
3044,E01003112,Lambeth 002E,57245,Lambeth,POINT (-12701.33126053093 6708916.288171533)
4614,E01004735,Westminster 018B,59245,Westminster,POINT (-13271.84365084645 6712628.533222724)
3835,E01003921,Southwark 021C,60245,Southwark,POINT (-10414.7176001463 6705881.829917298)
141,E01000145,Barnet 037A,62245,Barnet,POINT (-23381.2118877468 6723048.412371474)
3680,E01003765,Redbridge 009G,63245,Redbridge,POINT (3705.157931563317 6726774.272896416)
4157,E01004260,Tower Hamlets 007B,64245,Tower Hamlets,POINT (-5264.855317067872 6715153.926411108)
4561,E01004680,Westminster 015A,65245,Westminster,POINT (-18031.41979920366 6712756.966604857)
4203,E01004311,Tower Hamlets 006A,66245,Tower Hamlets,POINT (-8267.475942234842 6715315.502362796)
1286,E01001306,Ealing 035D,67245,Ealing,POINT (-35703.05500416346 6710328.165545602)
1910,E01001958,Hammersmith and Fulham 002C,68245,Hammersmith & Fulham,POINT (-26206.61188357087 6712735.680152263)
2628,E01002689,Hounslow 007E,69245,Hounslow,POINT (-28463.05796195054 6708109.074567029)
3146,E01003215,Lewisham 005E,70245,Lewisham,POINT (-4291.032411608317 6705596.586358654)
4183,E01004290,Tower Hamlets 016D,71245,Tower Hamlets,POINT (-5182.924171844024 6713975.932381135)
4582,E01004702,Westminster 009E,72245,Westminster,POINT (-19451.07726529028 6714340.19059411)
3790,E01003876,Richmond upon Thames 008B,73245,Richmond,POINT (-33573.62446477893 6703773.300822465)
4063,E01004162,Sutton 018E,75245,Sutton,POINT (-21919.69829312191 6685728.985586848)
4456,E01004568,Wandsworth 013A,76245,Wandsworth,POINT (-27095.38669806437 6702193.199639715)
2949,E01003016,Lambeth 036C,77245,Lambeth,POINT (-12479.69415436152 6711407.086256959)
1708,E01001748,Hackney 020A,78245,Hackney,POINT (-7609.800390628182 6719145.414842977)
1800,E01001847,Hackney 018B,80245,Hackney,POINT (-4023.086397268907 6718377.462450578)
2237,E01002288,Havering 025D,81245,Havering,POINT (23579.69453983121 6718165.169506538)
831,E01000849,Camden 011D,82245,Camden,POINT (-18072.83064977876 6718988.238273324)
3845,E01003933,Southwark 034C,83245,Southwark,POINT (-11305.49616547407 6709005.506718487)
4202,E01004310,Tower Hamlets 015E,86245,Tower Hamlets,POINT (-8267.809900707221 6713460.524099749)
4674,E01032739,City of London 001F,88245,City of London,POINT (-9500.227983279554 6713214.728230614)
355,E01000360,Bexley 015A,90245,Bexley,POINT (15067.42703734196 6702690.566177941)
658,E01000673,Bromley 011B,93245,Bromley,POINT (643.3042053452485 6693672.077742906)
2665,E01002727,Islington 021C,96245,Islington,POINT (-11902.27995561681 6715306.376725323)
1424,E01001446,Enfield 001B,98245,Enfield,POINT (-4263.647816873172 6741349.418999419)
4784,E01033597,Westminster 023F,332450,Westminster,POINT (-16144.66574974846 6707755.820847553)
2702,E01002767,Islington 011D,332451,Islington,POINT (-12923.30232517272 6720129.538015148)
2702,E01002767,Islington 011D,17245,Islington,POINT (-12923.30232517272 6720129.538015148)
4675,E01032740,City of London 001G,24245,City of London,POINT (-11635.78109465771 6712855.886731851)
1843,E01001890,Hammersmith and Fulham 016C,41245,Hammersmith & Fulham,POINT (-24584.13030525891 6707783.351204786)
3810,E01003896,Richmond upon Thames 014C,50245,Richmond,POINT (-36290.93323504274 6700904.725482173)
4387,E01004498,Wandsworth 031D,52450,Wandsworth,POINT (-20895.00238036983 6699226.959593409)
411,E01000417,Bexley 006B,58245,Bexley,POINT (14113.86427920677 6706862.922335261)
620,E01000634,Brent 019E,61245,Brent,POINT (-33356.99673569522 6719522.615181546)
1609,E01001641,Greenwich 038B,72450,Greenwich,POINT (-1097.610179221677 6706875.792249748)
2704,E01002769,Islington 008A,74245,Islington,POINT (-15096.5927439298 6721057.017801036)
2662,E01002724,Islington 022D,84245,Islington,POINT (-11511.65986242321 6713815.993104767)
4674,E01032739,City of London 001F,85245,City of London,POINT (-9883.612309571588 6712580.952567208)
2709,E01002774,Islington 004E,87245,Islington,POINT (-14790.57546373909 6721405.906458449)
4639,E01004762,Westminster 011E,89245,Westminster,POINT (-17081.53058426466 6711647.640847148)
2418,E01002470,Hillingdon 007D,92245,Hillingdon,POINT (-46039.51500228208 6723508.006584696)
3386,E01003460,Merton 002A,95245,Merton,POINT (-24714.37410948705 6697019.456897172)
3802,E01003888,Richmond upon Thames 021C,100245,Richmond,POINT (-38410.01106178349 6697105.867348992)
4782,E01033595,Westminster 013E,172450,Westminster,POINT (-15795.79046560235 6712172.056582584)
4816,E01033728,Greenwich 035C,392450,Greenwich,POINT (-2092.806426913543 6707197.546715588)
