,pod_id_location,Site_Type,geometry,motorway_min_dist,a_road_min_dist
0,1245,Other,POINT (-22993.15214284145 6728924.969895756),3078.83347420272,1341.331516418799
7858,2245,Hospital ,POINT (-13406.65155419711 6714132.654449186),15090.705021722199,364.28160924210454
13851,3245,School,POINT (-16958.2442482111 6720147.066045683),9065.026585149513,1330.0518378761433
24853,5245,Individual ,POINT (-20791.69789291367 6699568.057132736),13368.7649724507,13.60790283688388
32321,6245,Other,POINT (-40049.41320269603 6704610.464029181),3919.2525088762,5.247092981706844
39742,8245,School,POINT (-11734.41016350056 6709435.879238808),19190.9611043939,115.87579845640064
47686,9245,Other,POINT (-14044.84619491495 6711035.626686315),16675.009006502132,12.124800570187851
54810,10245,Other,POINT (-9868.918136786875 6711315.516412824),19611.180034392077,8.777582628285792
61461,11245,School,POINT (-17674.41819222963 6709006.221901162),13236.315597409543,94.81233362126923
72386,12245,Individual ,POINT (-21790.67900329251 6721112.52669832),4240.131434676867,144.7837307379421
83172,13245,School,POINT (-5423.596910939082 6715461.692890014),13735.998119524465,776.8841347081781
92456,15245,Other,POINT (-13134.25276022597 6719177.101147535),12999.501660019912,2.8879964415350505
100384,16245,School,POINT (-21418.98322353377 6710552.057120509),9732.445082392676,71.49922277797853
107512,18245,Other,POINT (-33020.25527604557 6694268.369469361),13217.186512655508,4.113805570964011
114948,19245,School,POINT (-6882.104879312552 6715363.098990615),14880.132080144744,349.9494053052836
126151,20245,Other,POINT (-15977.12991610459 6716707.729152998),11503.701320029972,32.03785582062681
137286,21245,Other,POINT (16540.07258104617 6721201.162657518),12713.760233878103,20.098877517613214
144953,22245,Other,POINT (-11615.63226682413 6711207.851623155),18317.937839853283,12.953444922159226
155342,25245,School,POINT (-12469.34144171775 6714246.083031919),15788.511985229625,18.55963514450381
163401,26245,Other,POINT (-31.28077691290987 6731514.768290968),5292.019228440769,6.912783312686719
170597,27245,School,POINT (-21069.44002244289 6702380.244487967),11482.42029052485,126.140275975615
181308,28245,Other,POINT (-7154.3923537929 6725238.971664521),10664.231611501817,165.88189388126307
187914,29245,School,POINT (-24323.64269680266 6713179.845138229),8168.762300971123,133.96974718232224
199036,30245,School,POINT (-13077.03454195822 6704267.547297956),18272.33440803665,20.928184510341516
209768,31245,School,POINT (-8637.501929631682 6710570.476589395),19491.558805821307,19.2314112229089
