Borough,b_Population estimate 2014,b_Workday Population (excludes tourists) (2014),b_General Fertility Rate (GFR) 2015,b_Percentage area greenspace,b_Percentage area road,b_Percentage area domestic gardens ,b_traffic flow 2015,b_percentage adults cycle once a month 2014/15,b_average public transport 2014,b_percentage children in poverty borough 2014,"b_percentage mortaility rate per 100,000 preventable 2012-2014",b_Happiness Score (out of 10) ,b_Anxiety Score (out of 10)
City of London,8072,431384,,4.834838336,23.82327358,0.120161052,160,17,7.9,12.8,128.8330524,5.99,5.57
Barking and Dagenham,198294,164584,84.8,33.57592341,12.34141584,22.75840095,599,9,3.0,28.8,227.6049335,7.05,3.05
Barnet,374915,331094,64.5,41.31754019,11.82611293,28.09591394,1657,7,3.0,17.9,133.7696319,7.37,2.75
Bexley,239865,194807,65.4,31.69189179,9.785801899,25.14751978,917,11,2.6,18.3,164.2858714,7.21,3.29
Brent,320762,274896,72.4,21.94336154,15.14930022,30.34133415,854,8,3.7,24.3,169.3560552,7.22,2.92
Bromley,321278,271896,64.3,57.77960931,7.285583902,23.35136926,1217,13,2.8,15.2,148.495392,7.44,3.26
Camden,234846,434279,43.8,24.78569727,18.64877986,19.08805694,450,19,5.7,31.9,163.7516123,7.11,3.61
Croydon,376040,314819,72.7,37.10121712,11.36499501,32.80863309,1162,13,3.2,22.5,178.2122819,7.18,3.3
Ealing,342118,305316,69.2,30.89169407,14.16459561,25.5672391,1224,15,3.3,21.7,163.5409217,7.26,3.57
Enfield,324574,277637,70.9,45.62173427,9.778221922,21.71748979,1640,8,3.0,28.3,151.9680419,7.33,2.6
Greenwich,268678,220356,72.7,34.38167513,14.55904696,23.22165964,1056,8,3.4,25.9,193.1989914,7.2,3.4
Hackney,263150,240792,60.9,23.2293085,19.49601085,18.52429039,465,25,4.9,31.2,210.5852045,6.99,3.76
Hammersmith and Fulham,178365,202214,50.5,19.07744007,17.45768747,17.08928007,506,20,4.7,25.2,187.4393004,7.16,3.09
Haringey,267541,209884,61.9,25.50369609,16.34009485,26.61499442,538,14,4.3,27.2,183.383346,7.19,3.18
Harrow,246011,204423,72,34.56403312,11.86068253,34.74081704,568,8,2.9,18.3,134.185431,7.31,2.71
Havering,245974,203607,67.4,59.32414233,7.613134206,19.45834135,1545,8,2.5,18.5,159.2808784,7.21,3.28
Hillingdon,292690,327032,68.1,49.23033169,8.769687517,18.58881929,2122,12,2.4,20,170.1317055,7.28,3.47
Hounslow,265568,271872,73.9,39.61669804,12.14657738,21.52523707,1498,16,3.0,21.8,165.8326434,7.4,3.39
Islington,221030,297460,45.6,12.37479133,22.88103096,19.72580288,392,21,5.7,35.3,202.8098394,7.06,3.7
Kensington and Chelsea,156190,196892,51,15.11237509,23.40882149,17.48351611,495,17,5.8,23,136.3382339,7.56,3.1
Kingston upon Thames,169958,149874,59,36.43508467,12.10456705,30.90053401,888,20,2.9,13.9,140.5849112,7.41,3.29
Lambeth,318216,269981,52.2,17.254754,19.57487073,25.97782808,715,16,5.0,27.6,204.9763642,7.2,3.53
Lewisham,291933,207571,65.5,22.51031695,16.70417511,31.14461221,747,16,4.1,26.6,190.8398302,7.26,3.43
Merton,203515,178645,73.2,34.57828442,12.78782897,27.17150782,570,14,3.4,16.6,161.8031509,7.13,3.56
Newham,324322,274935,77.7,23.86304991,16.01733918,16.8602055,905,6,3.9,29.2,193.3989173,7.18,3.37
Redbridge,293055,237756,73.4,40.60786319,12.53331055,27.43379067,1089,12,3.0,20.6,141.8845234,7.3,3.2
Richmond upon Thames,193585,170578,65.2,50.75974163,9.037296252,19.38530694,776,33,3.1,9.8,137.4166958,7.33,3.2
Southwark,302538,382582,55.5,24.89803033,18.1353119,17.63815945,696,20,4.9,28.5,207.4920795,7.31,3.42
Sutton,198134,162405,66.9,32.045453,11.76558669,34.47431624,614,9,2.9,15.1,163.1713522,7.26,3.22
Tower Hamlets,284015,367677,54.2,15.20090611,17.13238467,7.35058425,836,22,5.0,41.9,238.7155231,7.2,3.26
Waltham Forest,268020,210365,74.4,31.38674858,13.54917876,24.41818401,719,13,3.6,25,185.253767,7.12,3.14
Wandsworth,312145,238102,55.8,26.92605336,16.38682987,21.50558368,756,31,4.3,21.2,176.5526503,7.37,3.59
Westminster,233292,721351,46.9,21.49611084,23.86732746,7.919254938,856,16,6.5,33.7,161.5303837,7.13,3.43
